日期,年份,月份,ISO周,上海H3N2代理阳性率(%),新感染数,新有症状感染数,新无症状感染数,新报告病例数,累计感染数,累计报告病例数,有效易感数_S,潜伏者_E,传染者_I,移除者_R,日感染率_每10万人,日报告发病率_每10万人,beta_eff,Rt_eff,证据等级,锚点区间,阶段
2017-12-08,2017,12,49,1.09,321,270,51,68,723565,151947,5322260,518,1592,721455,1.33,0.28,0.2031,0.536,D,尾部衰减,尾部衰减
2017-12-09,2017,12,49,0.95,279,234,45,58,723844,152005,5321981,452,1407,721985,1.15,0.24,0.1991,0.526,D,尾部衰减,尾部衰减
2017-12-10,2017,12,49,0.83,244,205,39,51,724088,152056,5321737,395,1239,722454,1.01,0.21,0.197,0.52,D,尾部衰减,尾部衰减
2017-12-11,2017,12,50,0.71,209,176,33,44,724297,152100,5321528,341,1089,722867,0.86,0.18,0.1916,0.506,D,尾部衰减,尾部衰减
2017-12-12,2017,12,50,0.62,182,153,29,38,724479,152138,5321346,296,953,723230,0.75,0.16,0.1898,0.501,D,尾部衰减,尾部衰减
2017-12-13,2017,12,50,0.53,156,131,25,33,724635,152171,5321190,255,832,723548,0.65,0.14,0.186,0.491,D,尾部衰减,尾部衰减
2017-12-14,2017,12,50,0.46,135,113,22,28,724770,152199,5321055,220,725,723826,0.56,0.12,0.1843,0.487,D,尾部衰减,尾部衰减
2017-12-15,2017,12,50,0.39,115,97,18,24,724885,152223,5320940,188,630,724067,0.48,0.10,0.1803,0.476,D,尾部衰减,尾部衰减
2017-12-16,2017,12,50,0.34,100,84,16,21,724985,152244,5320840,163,545,724277,0.41,0.09,0.1805,0.476,D,尾部衰减,尾部衰减
2017-12-17,2017,12,50,0.29,85,71,14,18,725070,152262,5320755,139,472,724459,0.35,0.07,0.1771,0.468,D,尾部衰减,尾部衰减
2017-12-18,2017,12,51,0.25,74,62,12,16,725144,152278,5320681,120,408,724616,0.31,0.07,0.1781,0.47,D,尾部衰减,尾部衰减
2017-12-19,2017,12,51,0.21,62,52,10,13,725206,152291,5320619,102,352,724752,0.26,0.05,0.1729,0.456,D,尾部衰减,尾部衰减
2017-12-20,2017,12,51,0.18,53,45,8,11,725259,152302,5320566,87,303,724869,0.22,0.05,0.1711,0.452,D,尾部衰减,尾部衰减
2017-12-21,2017,12,51,0.15,44,37,7,9,725303,152311,5320522,73,260,724970,0.18,0.04,0.1652,0.436,D,尾部衰减,尾部衰减
2017-12-22,2017,12,51,0.13,38,32,6,8,725341,152319,5320484,62,222,725057,0.16,0.03,0.1662,0.439,D,尾部衰减,尾部衰减
2017-12-23,2017,12,51,0.11,32,27,5,7,725373,152326,5320452,53,190,725131,0.13,0.03,0.1639,0.433,D,尾部衰减,尾部衰减
2017-12-24,2017,12,51,0.09,26,22,4,6,725399,152332,5320426,44,162,725194,0.11,0.02,0.1559,0.412,D,尾部衰减,尾部衰减
2017-12-25,2017,12,52,0.08,24,20,4,5,725423,152337,5320402,39,137,725248,0.10,0.02,0.1688,0.446,D,尾部衰减,尾部衰减
2017-12-26,2017,12,52,0.06,18,15,3,4,725441,152341,5320384,31,117,725293,0.07,0.02,0.1496,0.395,D,尾部衰减,尾部衰减
2017-12-27,2017,12,52,0.05,15,13,2,3,725456,152344,5320369,25,98,725332,0.06,0.01,0.1459,0.385,D,尾部衰减,尾部衰减
2017-12-28,2017,12,52,0.04,12,10,2,2,725468,152346,5320357,20,82,725365,0.05,0.01,0.1385,0.366,D,尾部衰减,尾部衰减
2017-12-29,2017,12,52,0.04,12,10,2,2,725480,152348,5320345,19,69,725393,0.05,0.01,0.1653,0.436,D,尾部衰减,尾部衰减
2017-12-30,2017,12,52,0.03,9,8,1,2,725489,152350,5320336,15,58,725415,0.04,0.01,0.1491,0.394,D,尾部衰减,尾部衰减
2017-12-31,2017,12,52,0.02,10,8,2,2,725499,152352,5320326,15,49,725435,0.04,0.01,0.195,0.515,D,尾部衰减,尾部衰减
