scenario,peak_I_day,peak_I,final_R,final_Q,attack_rate
baseline,6.0,8306.839212759753,28402.43987971388,0.01454844215208913,0.9965768378846975
sporadic,5.0,8049.033166797967,28402.384187923344,0.01441121340182659,0.996574883786784
cluster,5.0,8199.50937721267,28377.706672449,0.017971994061461258,0.9957090060508421
