day,R0,R_eff
0.0,3.015759371948256,3.015759371948256
1.0,3.015759371948256,3.020432531525481
2.0,3.015759371948256,3.025230587369511
3.0,3.015759371948256,3.0300455526167522
4.0,3.015759371948256,3.03487790348744
5.0,3.015759371948256,3.039769075008134
6.0,3.015759371948256,3.044783841266917
7.0,3.015759371948256,3.0500054289254686
8.0,3.015759371948256,3.0555300653703052
9.0,3.015759371948256,3.061451785972051
10.0,3.015759371948256,3.0678243831028027
11.0,3.015759371948256,3.074577481883903
12.0,3.015759371948256,3.081346496378884
13.0,3.015759371948256,3.0871507974195262
14.0,3.015759371948256,3.0898304665488165
15.0,3.015759371948256,3.0851568100785176
16.0,3.015759371948256,3.0656372545454227
17.0,3.015759371948256,3.019397905925347
18.0,3.015759371948256,2.930172277771157
19.0,3.015759371948256,2.7801163826299717
20.0,3.015759371948256,2.556633728975746
21.0,3.015759371948256,2.2615210555077714
22.0,3.015759371948256,1.9165520517823815
23.0,3.015759371948256,1.5592608942137973
24.0,3.015759371948256,1.2294472344448806
25.0,3.015759371948256,0.9551251310995912
26.0,3.015759371948256,0.7465849616859996
27.0,3.015759371948256,0.5992015651816849
28.0,3.015759371948256,0.49982750997413955
29.0,3.015759371948256,0.4331117852951629
30.0,3.015759371948256,0.3863719812726748
31.0,3.015759371948256,0.3513983171304086
32.0,3.015759371948256,0.3235904800115315
33.0,3.015759371948256,0.30050696935571486
34.0,3.015759371948256,0.28085717219327844
35.0,3.015759371948256,0.2639490695120954
36.0,3.015759371948256,0.24939937095210218
37.0,3.015759371948256,0.23697453294732843
38.0,3.015759371948256,0.22649863747682902
39.0,3.015759371948256,0.21780184286574922
40.0,3.015759371948256,0.21069782605528403
41.0,3.015759371948256,0.20498186496967152
42.0,3.015759371948256,0.2004409894526767
43.0,3.015759371948256,0.19686791233771261
44.0,3.015759371948256,0.19407289127337446
45.0,3.015759371948256,0.19189093544968783
46.0,3.015759371948256,0.19018430547128534
47.0,3.015759371948256,0.18884154797750455
48.0,3.015759371948256,0.18777455515744773
49.0,3.015759371948256,0.18691484343003212
50.0,3.015759371948256,0.1862098177566059
51.0,3.015759371948256,0.1856194186726981
52.0,3.015759371948256,0.18511330236944365
53.0,3.015759371948256,0.18466856472253804
54.0,3.015759371948256,0.18426795311311558
55.0,3.015759371948256,0.18389848631188493
56.0,3.015759371948256,0.18355040176637738
57.0,3.015759371948256,0.18321635872033104
58.0,3.015759371948256,0.1828908378763277
59.0,3.015759371948256,0.18256969028848072
60.0,3.015759371948256,0.18224979890562604
61.0,3.015759371948256,0.18192882468650465
62.0,3.015759371948256,0.1816050160757896
63.0,3.015759371948256,0.18127706590546888
64.0,3.015759371948256,0.18094400378874886
65.0,3.015759371948256,0.18060511508967525
66.0,3.015759371948256,0.18025987981105188
67.0,3.015759371948256,0.17990792642996256
68.0,3.015759371948256,0.17954899696718135
69.0,3.015759371948256,0.17918292051287008
70.0,3.015759371948256,0.17880959312827216
71.0,3.015759371948256,0.17842896256292046
72.0,3.015759371948256,0.17804101661483812
73.0,3.015759371948256,0.1776457742511801
74.0,3.015759371948256,0.17724327882384977
75.0,3.015759371948256,0.1768335928774284
76.0,3.015759371948256,0.17641679416906603
77.0,3.015759371948256,0.17599297261203817
78.0,3.015759371948256,0.17556222792406306
79.0,3.015759371948256,0.17512466781414518
80.0,3.015759371948256,0.17468040658303413
81.0,3.015759371948256,0.17422956403721157
82.0,3.015759371948256,0.17377226464403261
83.0,3.015759371948256,0.1733086368710181
84.0,3.015759371948256,0.17283881267052742
85.0,3.015759371948256,0.17236292707536383
86.0,3.015759371948256,0.17188111786946525
87.0,3.015759371948256,0.1713935253284965
88.0,3.015759371948256,0.17090029201582024
89.0,3.015759371948256,0.17040156260132833
90.0,3.015759371948256,0.16989748372496266
91.0,3.015759371948256,0.1693882038732599
