day,new_s_dorm,new_s_class,new_s_canteen,new_s_club,new_s,new_t_dorm,new_t_class,new_t_canteen,new_t_club,new_t,new_l_dorm,new_l_class,new_l_canteen,new_l_club,new_l,new_total,new_dorm,new_class,new_canteen,new_club
0.0,1.9753276571359564,1.1474940064752184,0.6865348756689338,0.2035327413170031,4.012889280597112,0.004899296002384709,0.03010262069790992,0.011706574715853854,0.002776460544444699,0.04948495196059318,0.003428173026357763,0.002246787941212192,0.004680808210858731,0.0006475887653096128,0.0110033579437383,4.073377590501444,1.9836551261646989,1.1798434151143407,0.7029222585956464,0.20695679062675743
1.0,1.8503137654525936,1.0814340879294198,0.6476314837456852,0.19167014658288392,3.771049483710583,0.004649212888279026,0.02849895295060237,0.011223729504851641,0.0026501377244074063,0.04702203306814044,0.0032668705346510915,0.002143928212763467,0.004495185926888835,0.0006196414929063227,0.010525626167209716,3.8285971429459327,1.8582298488755238,1.1120769690927856,0.6633503991774257,0.19493992580019767
2.0,1.8322731237019698,1.082501887807712,0.6493709192345515,0.19160486804997887,3.755750798794212,0.004709684621974189,0.02875186097930417,0.011570340032574141,0.002711510670344064,0.047743396304196564,0.0033336579713961353,0.0021925778993614857,0.004647303564118189,0.0006366736738213562,0.010810213108697167,3.814304408207106,1.8403164662953402,1.1134463266863777,0.6655885628312439,0.1949530523941443
3.0,1.849820367695223,1.1036963603611263,0.6631193895012664,0.19512398566783004,3.8117601032254456,0.004853720320544808,0.029522709788759923,0.012107511801248458,0.002818957193318672,0.04930289910387186,0.003458575331836074,0.0022788093045225657,0.004875910003803906,0.0006644308755005649,0.01127772551566311,3.8723407278449806,1.8581326633476039,1.1354978794544086,0.6801028113063188,0.19860737373664927
4.0,1.8811840283910013,1.1309638134011917,0.6803344607506493,0.19976576475540245,3.8922480672982447,0.005014580530003606,0.03041589827893175,0.012651149251137686,0.002931354048513162,0.05101298210858621,0.0035919399109490724,0.002369469602701596,0.0051057467591355465,0.0006929904740328207,0.011760146746819036,3.9550211961536497,1.889790548831954,1.1637491812828251,0.6980913567609225,0.20339010927794843
5.0,1.9194069729291734,1.1602468607838086,0.6985805945230806,0.20481007687669095,3.9830445051127534,0.005174796678843555,0.03132462794483866,0.013159085236371609,0.0030387647839973625,0.05269727464405118,0.0037212252402555454,0.0024564375775092554,0.005319626885620141,0.0007199958265214999,0.012217285529906441,4.047959065286711,1.9283029948482726,1.1940279263061566,0.7170593066450724,0.2085688374872098
6.0,1.9620280939151296,1.1904913501058738,0.7172555756650543,0.2100607505937688,4.079835770279827,0.005331591303000968,0.032228387488642374,0.01363109288993479,0.0031404977481171237,0.054331569429695255,0.0038449803850765926,0.0025390278206282512,0.005517552431468302,0.0007453341662120349,0.01264689480338518,4.146814234512907,1.9712046656032072,1.2252587654151446,0.7364042209864574,0.21394658250809795
7.0,2.0080189532336794,1.2215166620896856,0.7362853875875347,0.21547584838147293,4.181296851292372,0.005486133207058346,0.03313039545223559,0.01407713496399511,0.0032381945056667917,0.05593185812895584,0.003964670814111032,0.0026184598808914102,0.005703725300368828,0.0007694554978459297,0.0130563114932172,4.2502850209145455,2.017469757254849,1.2572655174228125,0.7560662478518986,0.21948349838498565
8.0,2.056864331605485,1.2533750261148846,0.7557312550792796,0.2210564417844987,4.287027054584148,0.005640296306134378,0.03403875219470051,0.014507764349088015,0.0033337427044682994,0.0575205555543912,0.004082206148650921,0.002696185390978765,0.0058826088625180285,0.0007928635539360126,0.013453863956083728,4.358001474094623,2.06658683406027,1.290109963700564,0.7761216282908857,0.225183048042903
9.0,2.1082695319683586,1.2861627421330293,0.7756745899750592,0.22681350064795064,4.396920364724398,0.005795759966398688,0.03496112321196964,0.014931638618257963,0.0034287222133100002,0.05911724400993629,0.004199257595687882,0.0027734374997767436,0.006057896997751819,0.0008159804570444993,0.013846572550260944,4.469884181284595,2.118264549530445,1.3238973028447756,0.796664125591069,0.23105820331830515
