beta0,gamma,q_rate,q_scale,ve_s,ve_t,ve_l,v_cov_s,v_cov_t,v_cov_l,season_amp,mask_u,vent_u,online_u,club_u,disinfect_u,R_eff
0.36125377186418517,0.12399275533512241,0.10136834663057118,2.3270254729052935,0.28754487503522685,0.2926568566636121,0.38233234213885126,0.07817008938007249,0.4195101014284415,0.23528622872814914,0.1675517826534449,0.03919533632382086,0.8891912428884882,0.6638967878217987,0.1909334693069558,0.8182903608227967,2.409557637426868
0.19783865571786674,0.2209469211810035,0.18403125404732174,2.05134697272146,0.5930774646588839,0.3252316082432114,0.5225607106732417,0.14915204974192497,0.08553549622731046,0.599740900720887,0.16706608723559815,0.05352541157182353,0.3024084294077775,0.5297910376799044,0.10310826689947608,0.47604556025537853,0.8312455111115961
0.3741040348908484,0.24967739186750473,0.19592972039008136,1.3300255206653482,0.36315998070902383,0.20936368697081018,0.5491678678844758,0.5368669774796991,0.07020400886842136,0.06798664771261226,0.3169644241523977,0.7350967020002452,0.8528874730658587,0.33953747348133945,0.11524757156639863,0.7331735745977801,1.374955498108197
0.3492865599441426,0.15411833772162464,0.2938989737908246,1.0266631271414082,0.3726141971602507,0.2246451454535143,0.5177171009255559,0.10067833783978367,0.21717346101432516,0.44129460288509886,0.11972910591734214,0.2823594176805661,0.13637566663580564,0.5044274694269978,0.25403847742327945,0.04878280073005436,1.434975024910014
0.3765855442866064,0.20239354683392208,0.20025961820206434,1.28594121921121,0.4288771435317593,0.4345570212729928,0.47013706307787284,0.22608687109533226,0.4546720585144322,0.502610368608176,0.3265098967588228,0.6115926363560613,0.794969438554194,0.4179031197337389,0.7442486133422082,0.2906142333288894,1.7801060907324358
0.31010921479296444,0.15820502338161385,0.19867027892339173,1.4201885606550757,0.5025922898303721,0.32345414119495114,0.27232868504761965,0.3959465985087765,0.15248116430261766,0.14245113948249527,0.23160102541893196,0.4357363939669289,0.19675272331403826,0.09479445532079195,0.38641816289234626,0.740926861563504,1.4246890924884303
0.29928658125212604,0.28107941272428466,0.10709880981022274,2.551012392833509,0.5884139945228771,0.2953686763861044,0.2638878585018118,0.5984294751287175,0.05211303694192033,0.11756663259141069,0.16433454713520612,0.18651326060755696,0.467578688394885,0.991609012163963,0.36728069238086913,0.05414406931963451,0.9711562424952661
0.20288489769187618,0.13260473574810414,0.2985373469464787,0.8746266075603972,0.5761771780134033,0.3605832710583892,0.28236494990388383,0.07129421136682285,0.4037137214435839,0.17797450752675886,0.2936535066693371,0.013746302030961194,0.18012444917614723,0.3285812372347715,0.4437617891932032,0.5663477539468615,0.9710383371151666
0.15064865291422813,0.21306347522694224,0.2835459597677549,2.0685686108103303,0.5445670527911544,0.5298843755798008,0.4416052006392378,0.46299635859288374,0.5489972938470207,0.43154466307431044,0.3306888739491586,0.5777737250610407,0.3205225800271595,0.03865612679309873,0.34380419825302033,0.22738332114140017,0.5469729777222573
0.3205283125930676,0.17998527798604924,0.2117877240326113,2.286804498512369,0.31175972516948613,0.38931738605404065,0.4996969813623753,0.25872899519084697,0.4369622370873681,0.30333266650138596,0.13370932370461128,0.9801424129886015,0.45973089753776025,0.9734231192180294,0.022946640940503474,0.637166745990366,0.9507944314985549
