day,S_s,V_s,E_s,I_s,Q_s,R_s,S_t,V_t,E_t,I_t,Q_t,R_t,S_l,V_l,E_l,I_l,Q_l,R_l,N_s,N_t,N_l,S,V,E,I,Q,R,N
0.0,20796.33923969697,5199.660760303032,2.0,2.0,0.0,0.0,1496.0133086342657,203.98669136573432,0.0,0.0,0.0,0.0,704.0062628867132,95.99373711328674,0.0,0.0,0.0,0.0,26000.0,1700.0,800.0,22996.358811217946,5499.641188782052,2.0,2.0,0.0,0.0,28500.0
1.0,20794.278227139333,5199.341261951142,3.0420009380668924,2.421999553324067,0.4472575313706655,0.4692528867660054,1495.97810501004,203.9833552576207,0.030212802458589552,0.007251014033282449,0.0005427726007234369,0.0005331432470106998,704.0007863614691,95.99327039789736,0.0046610025507239335,0.001116679432454609,8.352149326305571e-05,8.203715708722589e-05,26000.000000000004,1700.0000000000002,800.0,22994.257118510843,5499.31788760666,3.076874743076206,2.430367246789804,0.447883825464652,0.4698680671701033,28500.000000000004
2.0,20791.616939678035,5198.928691128235,4.20668526232026,3.1671288500769763,0.9534766287839226,1.127078452553372,1495.9316332990165,203.97895128085887,0.05781416811337341,0.024180399208916993,0.003599045349479602,0.003821807453336494,703.9934711720751,95.99264698744169,0.008993230565039303,0.0037431007009838934,0.0005556224582224023,0.0005898867588759354,26000.000000000007,1700.0000000000005,800.0,22991.542044149126,5498.900289396536,4.273492660998673,3.1950523499868773,0.9576312965916246,1.1314901467655842,28500.000000000007
3.0,20788.0310386281,5198.372748701321,5.734275293596625,4.237938105078767,1.5745709901028646,2.04942828180495,1495.8677032942267,203.97289276874417,0.08912848957915397,0.04793232139274642,0.010420855910904782,0.011922270147079448,703.9832972582951,95.9917799485412,0.013988991200059107,0.007469859918534723,0.0016160957062101916,0.001847846338813506,26000.000000000004,1700.000000000001,800.0,22987.882039180622,5498.337421418606,5.837392774375838,4.293340286390048,1.5866079417199794,2.063198398290843,28500.000000000004
4.0,20783.150804475816,5197.61607997724,7.810389378205657,5.722854392283896,2.3691090797381285,3.3307626967234576,1495.7794392370333,203.96452803987012,0.12852756694211526,0.07881218645776567,0.02186935107629673,0.026823618621179345,703.9691436092694,95.99057374175888,0.020328457555542478,0.012368218053370763,0.003409173003278627,0.004176800359432849,26000.000000000004,1700.0000000000007,800.0,22982.89938732212,5497.571181758868,7.959245402703315,5.814034796795032,2.394387603817704,3.3617631157040697,28500.000000000004
5.0,20776.491147717457,5196.583407058903,10.650016845539731,7.765529410699846,3.411202974595247,5.098695992812867,1495.6578892484386,203.95300857791614,0.18039117126205506,0.11887508788459036,0.038938425577299395,0.05089748892208728,703.9495561140307,95.98890443500333,0.028699527730777972,0.018774755882964938,0.0061023096334358665,0.007962857718861783,26000.000000000004,1700.0000000000007,800.0,22976.09859307993,5496.525320071822,10.859107544532565,7.903179254467401,3.4562437098059826,5.157556339453817,28500.000000000004
6.0,20767.393922686468,5195.17255179067,14.537290498259926,10.56866986028614,4.799447807147414,7.528117357177129,1495.4909077946356,203.9371830470504,0.2500544441584021,0.1715688301243992,0.06304127486912847,0.08724460916259963,703.9225630019844,95.98660397020063,0.039950198251994265,0.027242351475931008,0.009929654539270118,0.013710823547809932,26000.000000000015,1700.0000000000007,800.0,22966.807393483086,5495.096338807921,14.827295140670323,10.767481041886471,4.8724187365558125,7.629072789887538,28500.000000000015
7.0,20754.959875676017,5193.243821121065,19.8587873208726,14.411776006924173,6.666761218428602,10.858978656699994,1495.26186329703,203.9154746652572,0.3445248577834924,0.24184493103458962,0.09623377402745292,0.1400584748676959,703.8854631141902,95.98344211013207,0.05520291430259523,0.03856324022222946,0.015227096580754277,0.022101524572070486,26000.000000000007,1700.0000000000005,799.9999999999999,22954.107202087238,5493.1427378964545,20.25851509295869,14.692184178180993,6.778222089036809,11.02113865613976,28500.000000000007
8.0,20737.95868946878,5190.605939282165,27.14317569661117,19.678795024684163,9.193086095523606,15.420314432240563,1494.9479384161443,203.88571984194036,0.47325761243485365,0.3365555099907299,0.14145314256246566,0.2150754769275946,703.834548135534,95.97910274896951,0.0759786938156571,0.05383591901307591,0.022470710387736764,0.03406379227995877,26000.00000000001,1700.0000000000005,799.9999999999999,22936.741176020463,5490.4707618730745,27.69241200286168,20.06918645368797,9.357009948473808,15.669453701448116,28500.00000000001
9.0,20714.70727737576,5186.996949694111,37.113517983881536,26.89692680755048,12.622264324103375,21.663063814600285,1494.5178226652206,203.84494897481974,0.6491365812122372,0.4651059807162657,0.20281629488686992,0.3201695031446082,703.7647253823112,95.97315173225167,0.1043552844135129,0.07457209446322652,0.03232528579598753,0.05087022076433362,26000.000000000007,1700.0000000000002,799.9999999999999,22912.989825423294,5486.815050401183,37.86700984950729,27.436604882729974,12.857405904786233,22.03410353850923,28500.000000000007
10.0,20682.90472976045,5182.058193953377,50.757609939881334,36.79010540484944,17.284395119116333,30.20496582233755,1493.9285569830254,203.78908640286647,0.8897832264452038,0.6404040739232372,0.2860124388243882,0.46615687491579705,703.6690010056126,95.96499275160265,0.14317960146991268,0.102851123006338,0.045708298029557795,0.07426722027882467,26000.00000000001,1700.0000000000005,799.9999999999998,22880.502287749085,5481.8122731078465,51.79057276779645,37.533360601779016,17.616115855970282,30.74538991753217,28500.00000000001
11.0,20639.40916083545,5175.298903192592,69.42242089469728,50.352490975350214,23.625114493083416,41.891909608837025,1493.1212129294966,203.71253901964303,1.2193315611115363,0.8801976710341495,0.3988226699461026,0.667896148769003,703.5377702398266,95.95380673952293,0.19635761538514052,0.1415377535433654,0.0638745916104144,0.10665306011141114,26000.000000000007,1700.0000000000007,800.0,22836.068144004774,5474.965248951758,70.83811007119395,51.37422639992773,24.087811754639933,42.66645881771744,28500.000000000007
12.0,20579.938013233732,5166.0482115379045,94.93970409443182,68.94931389691139,32.24319621137894,57.8815610256533,1492.0149841160846,203.6076327245604,1.670842187869209,1.2089469223756473,0.5517988355969075,0.9457952135136637,703.3578427578575,95.93846858395138,0.2692513800543614,0.19458780073612153,0.08852716891174099,0.151322308488855,26000.000000000015,1700.0000000000007,799.9999999999999,22775.310840107675,5465.594312846416,96.87979766235539,70.35284862002315,32.88352221588758,58.97867854765582,28500.000000000015
13.0,20498.66925001287,5153.390475324707,129.79075692547568,94.45499350180906,43.93747981727721,79.75704441787074,1490.4991211639262,203.46384132072566,2.2895817206049984,1.6604458192875264,0.7591305623592716,1.3278794130966567,703.111104524596,95.91743266525005,0.3692231713899677,0.26747838556632236,0.12195917144024816,0.21280208175736592,26000.000000000007,1700.0000000000005,800.0,22692.279475701394,5452.771749310683,132.44956181747062,96.38291770666291,44.81856955107673,81.29772591272476,28500.000000000007
14.0,20387.71829252554,5136.078858779631,177.31774915238495,129.44147627218143,59.762845233995066,109.68077803627752,1488.4219642504006,203.26673435762922,3.137455355929813,2.2815021784693283,1.0397146259696977,1.8526292316018729,702.7726832787971,95.88857571532742,0.5063797833884445,0.3678161031984504,0.16723014698752345,0.2973149723009445,26000.00000000001,1700.0000000000007,799.9999999999999,22578.912940054735,5435.2341688525885,180.9615842917032,132.09079455384924,60.96979000695229,111.83072224018032,28500.00000000001
15.0,20236.467328913423,5112.421474162624,241.98504479509756,177.4328524528091,81.09210620713064,150.60119346892702,1485.5761234123659,202.99654865111896,4.298940740045359,3.1371136220867615,1.4184046494568343,2.5728689249266594,702.3084414474289,95.84898165058796,0.694585641124953,0.5062003639698247,0.2283744802265596,0.4134164166618054,26000.000000000015,1700.0000000000005,799.9999999999999,22424.35189377322,5411.267004464331,246.97857117626788,181.0761664388657,82.73888533681404,153.5874788105155,28500.000000000015
16.0,20030.735612219265,5080.134530663299,329.6821858112544,243.24461422476517,109.67526027114843,206.5277968102755,1481.6786494651728,202.62626401277456,5.888900517171882,4.317753746660203,1.9273467000329187,3.561085558188157,701.6715675105371,95.79464823858434,0.9528290973764748,0.6974536720097096,0.31062922752396643,0.5728722539684268,26000.000000000007,1700.0000000000005,800.0,22214.085829194973,5378.555442914658,336.5239154258027,248.2598216434351,111.9132361987053,210.66175462243208,28500.000000000007
