day,new_s_dorm,new_s_class,new_s_canteen,new_s_club,new_s,new_t_dorm,new_t_class,new_t_canteen,new_t_club,new_t,new_l_dorm,new_l_class,new_l_canteen,new_l_club,new_l,new_total,new_dorm,new_class,new_canteen,new_club
0.0,0.7624099899365817,0.5072574734289137,0.23688756519141793,0.1115514563023757,1.618106484859289,0.001890333559574708,0.01330263473503309,0.004037986223470293,0.0015212051958676989,0.02075215971394579,0.0013227187164736773,0.0009928769860150938,0.0016145661330793084,0.0003548097942784773,0.004284971629846557,1.6431436162030812,0.7656230422126301,0.521552985149962,0.24254011754796753,0.11342747129252187
1.0,0.6870659023186014,0.46060835102313347,0.2153312209324691,0.10119166360304109,1.4641971378772451,0.0017307754358416182,0.012146217637500416,0.0037440257277116516,0.001402938491140209,0.019023957292193895,0.001216113122915528,0.0009148911732455564,0.0014987805876149267,0.00032798006738561696,0.0039577649511616285,1.4871788601206009,0.6900127908773586,0.4736694598338794,0.22057402724779568,0.10292258216156691
2.0,0.6856670250055138,0.46552182310562984,0.2180140817662146,0.10210318227744422,1.4713061121548026,0.0017730679231431285,0.012387138094569613,0.0039131877891573005,0.0014539914299780095,0.019527385236848053,0.001254366412564662,0.0009469442103784437,0.0015695591966500908,0.00034119138879865757,0.004112061208391854,1.4949455586000424,0.6886944593412216,0.4788559054105779,0.22349682875202198,0.10389836509622088
3.0,0.7066393252763282,0.48489830888130603,0.22743097845035254,0.10620901387610128,1.5251776264840882,0.0018676403894838257,0.012999485094540662,0.004188517122395026,0.0015458866252593374,0.02060152923167885,0.0013289404942533503,0.001005873349049547,0.0016829336393235285,0.0003639026058685139,0.00438165008849494,1.550160805804262,0.7098359061600654,0.49890366732489627,0.2333024292120711,0.10811880310722913
4.0,0.7359000060690485,0.5088363642140812,0.23892200183023732,0.11134697081522468,1.5950053429285915,0.001975414732723212,0.013713463318030809,0.00447935300487004,0.0016456286251751208,0.021813859680799182,0.0014116748256185108,0.001070248586978838,0.0018023389601870266,0.00038829392643442777,0.004672556299218803,1.6214917589086093,0.7392870956273903,0.5236200761190908,0.2452036937952944,0.11338089336683423
5.0,0.7695055778519122,0.5348063071129183,0.2513092781742259,0.11695747958223084,1.6725786427212872,0.0020873170816573506,0.014464504084219574,0.004767521409038874,0.0017461903425285217,0.02306553291744432,0.0014962321696560432,0.00113541858041296,0.0019204286645860577,0.0004127236324719411,0.004964803047127002,1.7006089786858585,0.7730891271032255,0.5504062297775509,0.2579972282478508,0.1191163935572313
6.0,0.8062965392959572,0.5622589083365789,0.26434838013936096,0.12291279637590509,1.7558166241478022,0.002202179163270717,0.015242423426972998,0.005053466075006132,0.0018472798595035066,0.024345348524753355,0.0015819999020391976,0.0012011010905359988,0.0020373722807884237,0.0004371500562996047,0.005257623329663225,1.7854195960022188,0.8100807183612672,0.5787024328540878,0.2714392184951555,0.1251972262917082
7.0,0.8459171518422338,0.5911653469369099,0.2780377706246172,0.12920019780881123,1.8443204672125721,0.002320723376565414,0.016050423254708915,0.005341493412407097,0.0019500846353530847,0.02566272467903451,0.0016697046450580514,0.0012679956924182725,0.002154914517839376,0.00046188037156270916,0.005554495226878409,1.875537687118485,0.8499075798638572,0.6084837658840372,0.2855341785548637,0.13161216281572705
8.0,0.8882715426908471,0.6216239257060822,0.29243308802102397,0.13583640861146018,1.9381649650294133,0.002443969082351513,0.016894178446898674,0.005635945121227991,0.002055897488415905,0.02702999013889408,0.001760252189256862,0.0013368943741372834,0.002274829711344468,0.00048724341317636817,0.005859219687914982,1.9710541748562225,0.8924757639624555,0.6398549985271181,0.30034386285359643,0.13837954951305245
9.0,0.9333684646502666,0.6537585925334919,0.30759966473041306,0.14284519119619388,2.0375719131103653,0.002572859305320207,0.01777920749344108,0.005940420599793446,0.0021658215318251946,0.028458308930379927,0.0018544592410895192,0.0014084851669771922,0.002398601934730152,0.0005135194506051277,0.006175065793401991,2.0722052878341475,0.9377957831966763,0.6729462851939102,0.3159386872649366,0.1455245321786242
10.0,0.9812713175955493,0.6876952946625898,0.32360188511880106,0.1502518207597752,2.142820318136715,0.0027082091010652894,0.018710432952588597,0.006257791125339,0.0022807566925994714,0.029957189871592363,0.0019530205847389155,0.0014833374391928721,0.002527424636036238,0.0005409371505983223,0.0065047198105663475,2.1792822278188737,0.9859325472813535,0.7078890650543712,0.33238710088017626,0.153073514602973
11.0,1.0320781958348462,0.7235582171716122,0.3405018751521963,0.15808194613781512,2.2542202342964694,0.002850728276054715,0.019692262320177133,0.006590372732443488,0.002401445776122853,0.03153480910479819,0.002056530525257899,0.0015619269092473594,0.0026622661256747496,0.0005696848526661191,0.006850408412846128,2.2926054518141137,1.036985454636159,0.7448124064010367,0.3497545140103146,0.1610530767666041
12.0,1.0859112935727513,0.7614702843392711,0.358360113737961,0.1663614570589231,2.372103148708906,0.0030010526997461895,0.0207287440191777,0.006940092281017635,0.002528521703549131,0.03319841070349065,0.002165510260344304,0.0016446628377398335,0.0028039341766746646,0.0005999222058637882,0.00721402948062259,2.4125155888930196,1.0910778565328418,0.7838436911961886,0.3681041401956533,0.16948990096833605
13.0,1.1429122108152794,0.8015557619418806,0.3772369527306252,0.17511687585409588,2.4968218013418815,0.003159776570586168,0.02182374431682454,0.0073086319946571035,0.002662550183500367,0.03495470306556818,0.002280435461384211,0.0017319134201744908,0.0029531333334210648,0.0006317907514615135,0.007597272966441281,2.539373777373891,1.1483524228472497,0.8251114196788797,0.38749871805870334,0.17841121678905777
14.0,1.2032390567315323,0.8439422125464638,0.397193751419679,0.1843756679202056,2.6287506886178806,0.0033274752018918026,0.022981072615398616,0.007697529725357841,0.0028040593717583856,0.03681013691440664,0.002401756289379563,0.0018240237159172824,0.0031105053684042138,0.0006654213943453167,0.008001706768046376,2.6735625323003336,1.2089682882228037,0.8687473088777797,0.4080017865134411,0.18784514868630928
15.0,1.2670595957856992,0.8887582857232205,0.41829198379079735,0.19416568444015894,2.768275549739876,0.003504706246276654,0.024204468472722403,0.008108212912720366,0.0029535477093634833,0.03877093534108291,0.0025299009579459676,0.0019213199832871317,0.003276643329400456,0.0007009366112322292,0.008428800881865784,2.8154752859628243,1.273094202989922,0.91488407417923,0.4296768400329182,0.19782016876075464
16.0,1.334558614252646,0.9361410904014243,0.4405968428965047,0.20451671165060525,2.9158132592011805,0.003692047329148395,0.02549784264173249,0.008542112260742718,0.0031115214082149214,0.04084352363983852,0.002665305612000275,0.002024133570399304,0.0034521382018707406,0.0007384597239601539,0.008880037108230474,2.965536819949249,1.3409159671937947,0.9636630666135562,0.4525910933591181,0.20836669278278033
17.0,1.405924450815339,0.9862275284072415,0.4641732141938677,0.21545855664081429,3.0717837500572625,0.0038900650095202547,0.026865055709876698,0.009000599437589095,0.0032784703326961665,0.04303419048968221,0.002808393092685465,0.002132785126772128,0.003637554205343682,0.0007781093488410549,0.009356841773642328,3.124174782320587,1.4126229089175446,1.0152253692438902,0.47681136783680045,0.2195151363223515
18.0,1.4813631256784388,1.0391655503600778,0.48909106547096476,0.2270234710135185,3.2366432125229996,0.004099364552538423,0.02831024961222153,0.009485118658674982,0.003454913456679478,0.04534964628011441,0.002959610994820442,0.0022476140404726337,0.0038334828962033403,0.0008200105032651332,0.009860718434761549,3.291853577237876,1.4884221012257977,1.069723414012772,0.5024096670258431,0.2312983949734631
19.0,1.5610822920287506,1.0951028845323252,0.5154201426248081,0.2392436891626044,3.4108490083484884,0.004320545523968771,0.029837540984671826,0.00999708380270478,0.0036413614017376736,0.047796531713083054,0.003119399664985505,0.002368954100146154,0.004040501660279571,0.0008642857266079327,0.010393141152019163,3.4690386812135903,1.5685222372177048,1.1273093796171432,0.5294577280877925,0.24374933629095002
20.0,1.645304320972734,1.1541972433939363,0.5432348533591606,0.25215363288704623,3.594890050612877,0.004554246308425142,0.031451318609938404,0.01053799415108737,0.0038383566312697494,0.05038191570072066,0.0032882263998281107,0.002497159694490693,0.0042592216411740606,0.0009110649441757988,0.010955672679668665,3.656227638993266,1.6531467936809874,1.1881457216983653,0.558032069151422,0.2569030544624918
21.0,1.734262476769689,1.2166130591543864,0.5726126840653148,0.26578921217194806,3.789277432161339,0.004801128961413024,0.03315614456955869,0.011109392100034112,0.0040464591707115175,0.05311312480171734,0.003466573293291539,0.0026325964820750492,0.004490269948842348,0.0009604818863425007,0.011549921610551437,3.8539404785736076,1.7425301790243934,1.2524018002060202,0.5882123461141914,0.2707961532290021
22.0,1.8281886000802205,1.2825139091223852,0.6036307254213715,0.280186145815409,3.994519380439386,0.005061853848060191,0.03495656818370834,0.011712817835644575,0.004266228000321416,0.05599746786773452,0.0036549214194685187,0.0027756294659264874,0.004734272903505923,0.0010126700752403767,0.012177493864141305,4.062694342171262,1.8369053753477493,1.32024610677202,0.620077816160522,0.28546504389097077
