day,R0,R_eff
0.0,1.1069276473912004,1.1069276473912004
1.0,1.1069276473912004,1.1085467179698376
2.0,1.1069276473912004,1.1101688850260762
3.0,1.1069276473912004,1.111751661479315
4.0,1.1069276473912004,1.1132829513018334
5.0,1.1069276473912004,1.114758928680975
6.0,1.1069276473912004,1.116178053508256
7.0,1.1069276473912004,1.117539450364214
8.0,1.1069276473912004,1.1188424610238024
9.0,1.1069276473912004,1.1200865168971335
10.0,1.1069276473912004,1.1212710983750656
11.0,1.1069276473912004,1.1223957192207545
12.0,1.1069276473912004,1.1234599188379049
13.0,1.1069276473912004,1.124463258158673
14.0,1.1069276473912004,1.125405317318818
15.0,1.1069276473912004,1.1262856926240057
16.0,1.1069276473912004,1.1271039972136925
17.0,1.1069276473912004,1.1278598582632045
18.0,1.1069276473912004,1.1285529174857318
19.0,1.1069276473912004,1.1291828329849665
20.0,1.1069276473912004,1.129749270117325
21.0,1.1069276473912004,1.130251918136147
22.0,1.1069276473912004,1.1306904669155078
23.0,1.1069276473912004,1.131064632576017
24.0,1.1069276473912004,1.1313741346589465
25.0,1.1069276473912004,1.1316187084158067
26.0,1.1069276473912004,1.1317981066179055
27.0,1.1069276473912004,1.1319120865687895
28.0,1.1069276473912004,1.13196042692621
29.0,1.1069276473912004,1.1319429141064437
30.0,1.1069276473912004,1.1318593474820255
31.0,1.1069276473912004,1.1317095449888235
32.0,1.1069276473912004,1.1314933251833703
33.0,1.1069276473912004,1.1312105386386595
34.0,1.1069276473912004,1.1308610234923675
35.0,1.1069276473912004,1.1304446605285476
36.0,1.1069276473912004,1.1299613141001268
37.0,1.1069276473912004,1.12941088631286
38.0,1.1069276473912004,1.1287932790417265
39.0,1.1069276473912004,1.1281084067139142
40.0,1.1069276473912004,1.127356214016372
41.0,1.1069276473912004,1.1265366315299419
42.0,1.1069276473912004,1.1256496358463253
43.0,1.1069276473912004,1.1246951959365359
44.0,1.1069276473912004,1.1236733000340489
45.0,1.1069276473912004,1.1225839682174867
46.0,1.1069276473912004,1.121427206365022
47.0,1.1069276473912004,1.1202030677366044
48.0,1.1069276473912004,1.1189116090562465
49.0,1.1069276473912004,1.117552893177038
50.0,1.1069276473912004,1.1161270323733423
51.0,1.1069276473912004,1.1146341278121652
52.0,1.1069276473912004,1.1130743126291542
53.0,1.1069276473912004,1.111447756384213
54.0,1.1069276473912004,1.1097546178186923
55.0,1.1069276473912004,1.1079951076833725
56.0,1.1069276473912004,1.1061694586756516
57.0,1.1069276473912004,1.104277901028773
58.0,1.1069276473912004,1.102320729580093
59.0,1.1069276473912004,1.1002982502599075
60.0,1.1069276473912004,1.0982107791175686
61.0,1.1069276473912004,1.0960587027688071
62.0,1.1069276473912004,1.0938424130502307
63.0,1.1069276473912004,1.0915623256222846
64.0,1.1069276473912004,1.089218929151119
65.0,1.1069276473912004,1.0868127148645867
66.0,1.1069276473912004,1.08434421181177
67.0,1.1069276473912004,1.081814022492748
68.0,1.1069276473912004,1.0792227508627978
69.0,1.1069276473912004,1.0765710533509212
70.0,1.1069276473912004,1.0738596579951663
71.0,1.1069276473912004,1.0710892938933227
72.0,1.1069276473912004,1.068260758660058
73.0,1.1069276473912004,1.0653749157743477
74.0,1.1069276473912004,1.0624326303304326
75.0,1.1069276473912004,1.0594348537330074
76.0,1.1069276473912004,1.0563825909903706
77.0,1.1069276473912004,1.053276852548807
78.0,1.1069276473912004,1.0501187528452853
79.0,1.1069276473912004,1.046909438245768
80.0,1.1069276473912004,1.0436500750184488
81.0,1.1069276473912004,1.040341940956166
82.0,1.1069276473912004,1.036986317253158
83.0,1.1069276473912004,1.033584539254818
84.0,1.1069276473912004,1.0301380324986007
85.0,1.1069276473912004,1.0266482070890304
86.0,1.1069276473912004,1.0231165741107058
87.0,1.1069276473912004,1.0195446728805984
88.0,1.1069276473912004,1.0159340563898809
89.0,1.1069276473912004,1.0122863817829428
90.0,1.1069276473912004,1.0086032724287903
91.0,1.1069276473912004,1.0048864478166717
92.0,1.1069276473912004,1.0011376273944514
93.0,1.1069276473912004,0.9973585619936682
94.0,1.1069276473912004,0.9935510546592635
95.0,1.1069276473912004,0.989716886794625
96.0,1.1069276473912004,0.9858579136703164
97.0,1.1069276473912004,0.9819759507044332
98.0,1.1069276473912004,0.9780728713365607
99.0,1.1069276473912004,0.9741505346706357
100.0,1.1069276473912004,0.9702107812442079
101.0,1.1069276473912004,0.9662554852916089
102.0,1.1069276473912004,0.9622865332760064
103.0,1.1069276473912004,0.9583057373831698
104.0,1.1069276473912004,0.9543149451505104
105.0,1.1069276473912004,0.9503159746553641
106.0,1.1069276473912004,0.9463106048456487
107.0,1.1069276473912004,0.9423006345305435
108.0,1.1069276473912004,0.9382877658769696
109.0,1.1069276473912004,0.9342737517414229
110.0,1.1069276473912004,0.9302602220110388
111.0,1.1069276473912004,0.9262488387861865
112.0,1.1069276473912004,0.9222411891728647
113.0,1.1069276473912004,0.9182388070148938
114.0,1.1069276473912004,0.9142432279059866
115.0,1.1069276473912004,0.9102558828545846
116.0,1.1069276473912004,0.9062781876557731
117.0,1.1069276473912004,0.9023115186621327
118.0,1.1069276473912004,0.8983571626016996
119.0,1.1069276473912004,0.8944163907019507
120.0,1.1069276473912004,0.8904904205424016
121.0,1.1069276473912004,0.8865803927541498
122.0,1.1069276473912004,0.882687425873545
123.0,1.1069276473912004,0.8788125877268947
124.0,1.1069276473912004,0.8749568751716369
125.0,1.1069276473912004,0.8711212583587867
126.0,1.1069276473912004,0.867306667520304
127.0,1.1069276473912004,0.8635139670853814
128.0,1.1069276473912004,0.8597439915841703
129.0,1.1069276473912004,0.8559975465230704
130.0,1.1069276473912004,0.8522753838847924
131.0,1.1069276473912004,0.848578221053568
132.0,1.1069276473912004,0.8449067536793683
133.0,1.1069276473912004,0.8412616435302545
134.0,1.1069276473912004,0.8376435140662529
135.0,1.1069276473912004,0.8340529709887549
136.0,1.1069276473912004,0.8304906019424797
137.0,1.1069276473912004,0.8269569646255157
138.0,1.1069276473912004,0.8234525972881643
139.0,1.1069276473912004,0.8199780278686275
140.0,1.1069276473912004,0.8165337713060749
141.0,1.1069276473912004,0.8131203225710706
142.0,1.1069276473912004,0.8097381690895419
143.0,1.1069276473912004,0.8063877939298261
144.0,1.1069276473912004,0.8030696726598344
145.0,1.1069276473912004,0.7997842707999722
146.0,1.1069276473912004,0.796532053219292
147.0,1.1069276473912004,0.7933134852906771
148.0,1.1069276473912004,0.790129029880217
149.0,1.1069276473912004,0.7869791468089109
150.0,1.1069276473912004,0.7838642993144728
151.0,1.1069276473912004,0.7807849543592886
152.0,1.1069276473912004,0.7777415798856715
153.0,1.1069276473912004,0.7747346448662489
154.0,1.1069276473912004,0.7717646236328946
155.0,1.1069276473912004,0.768831995684839
156.0,1.1069276473912004,0.7659372431415019
157.0,1.1069276473912004,0.7630808508911088
158.0,1.1069276473912004,0.7602633093873215
159.0,1.1069276473912004,0.7574851140916379
160.0,1.1069276473912004,0.7547467630344216
161.0,1.1069276473912004,0.7520487570436347
162.0,1.1069276473912004,0.7493916013803259
163.0,1.1069276473912004,0.7467758048929862
164.0,1.1069276473912004,0.7442018776636168
165.0,1.1069276473912004,0.741670331453508
166.0,1.1069276473912004,0.7391816803964805
167.0,1.1069276473912004,0.736736439912625
168.0,1.1069276473912004,0.7343351245536894
169.0,1.1069276473912004,0.7319782487335736
170.0,1.1069276473912004,0.7296663266345428
171.0,1.1069276473912004,0.7273998708520583
172.0,1.1069276473912004,0.7251793908471069
173.0,1.1069276473912004,0.7230053936701558
174.0,1.1069276473912004,0.7208783833007154
175.0,1.1069276473912004,0.7187988590501312
176.0,1.1069276473912004,0.7167673150697899
177.0,1.1069276473912004,0.7147842405264008
178.0,1.1069276473912004,0.7128501186005544
179.0,1.1069276473912004,0.710965425121602
180.0,1.1069276473912004,0.7091306288388238
181.0,1.1069276473912004,0.7073461908997765
182.0,1.1069276473912004,0.7056125636123185
183.0,1.1069276473912004,0.7039301901374958
184.0,1.1069276473912004,0.7022995044075487
185.0,1.1069276473912004,0.7007209301956026
186.0,1.1069276473912004,0.6991948804286803
187.0,1.1069276473912004,0.6977217572747098
188.0,1.1069276473912004,0.6963019514764894
189.0,1.1069276473912004,0.6949358415814965
190.0,1.1069276473912004,0.6936237940235787
191.0,1.1069276473912004,0.692366162639367
