day,S_s,V_s,E_s,I_s,Q_s,R_s,S_t,V_t,E_t,I_t,Q_t,R_t,S_l,V_l,E_l,I_l,Q_l,R_l,N_s,N_t,N_l,S,V,E,I,Q,R,N
0.0,22693.425806066094,3302.574193933906,2.0,2.0,0.0,0.0,1570.4374739302853,129.56252606971475,0.0,0.0,0.0,0.0,739.0293994966048,60.970600503395175,0.0,0.0,0.0,0.0,26000.0,1700.0,800.0,25002.892679492983,3493.1073205070156,2.0,2.0,0.0,0.0,28500.0
1.0,22653.87282396671,3299.00420101859,30.77329523660867,11.478518619533402,1.0380343595412675,3.833126799012797,1569.99512350074,129.53716143151337,0.32811751215912277,0.10720528336902366,0.0070099413316819055,0.025382330886707598,738.9732310991157,60.96770424705962,0.04152328350292525,0.01348730700909261,0.0008774300260465963,0.003176633286638976,26000.0,1700.0,800.0,24962.841178566567,3489.5090666971632,31.14293603227072,11.599211209911518,1.045921730898996,3.861685763186143,28500.0
2.0,22331.564410570176,3269.8242951789684,257.97321332045476,96.31937829728827,9.20616025436182,35.11254237874318,1566.2982278916616,129.32509391544528,2.868089408840393,1.0557730138733148,0.09471749373809858,0.3580982764412185,738.4977650531266,60.9431841002044,0.3668510566499967,0.13469699340833052,0.01203083342076757,0.04547196318980655,25999.999999999993,1699.9999999999998,799.9999999999999,24636.360403514962,3460.092573194618,261.2081537859451,97.50984830456991,9.312908581520686,35.5161126183742,28499.999999999993
3.0,19834.511530280444,3038.0567289815995,1987.5156756897945,778.4330180576101,68.44336300847692,293.03968398206655,1535.95456004144,127.57865538646762,23.493202507082643,8.94644269578221,0.7634762815426068,3.263663087684352,734.5560442677307,60.73967805576779,3.03714647386444,1.1512423005967505,0.09780959904366367,0.41807930299663426,25999.999999999996,1699.9999999999993,800.0,22105.022134589613,3226.375062423835,2014.0460246707416,788.5307030539891,69.30464888906319,296.72142637274754,28499.999999999996
4.0,8781.117766225527,1833.1389852221914,8511.517347962123,4517.398498594365,306.12018854999144,2050.7072134457944,1341.3909376417628,116.11706119714631,147.51313854988513,65.19826694826085,3.819377834864452,25.96121782808,707.6888999713242,59.341482259682486,20.346834994925608,8.725705461516396,0.4987227447805769,3.3983545677706717,25999.999999999993,1699.9999999999995,800.0,10830.197603838615,2008.5975286790201,8679.377321506932,4591.322471004142,310.4382891296365,2080.066785841645,28499.999999999993
5.0,604.3596051661505,348.81618782427915,7533.989782508598,9122.370723782322,678.3484425897195,7712.115258128922,847.0105162407535,84.35829093297777,365.7871725038943,250.03359878163977,11.619894491688108,141.19052704904607,621.4985642754237,54.71507278704362,63.41300603914382,38.679457286230466,1.6307643511396746,20.063135261018708,25999.99999999999,1699.9999999999993,800.0,2072.868685682328,487.8895515443005,7963.189961051636,9411.083779850193,691.5991014325473,7873.368920438987,28499.99999999999
6.0,21.055535645252768,43.51906690152378,2760.950878620859,7604.931607274349,1013.5233335414828,14556.019578016516,454.8886611302181,54.763236565401144,349.05608164923217,407.07321398544065,27.0900737577417,407.12873291196564,514.8064454552552,48.638971733760336,85.76140323984734,79.73430976671563,4.417008904056595,66.64186090036465,25999.999999999985,1699.9999999999995,799.9999999999999,990.750642230726,146.92127520068527,3195.7683635099384,8091.739131026505,1045.030416203281,15029.790171828847,28499.999999999985
7.0,1.7799429458685028,9.406841969187779,890.079979281749,4490.002923788986,1248.800052077134,19359.930259937057,274.34676234459715,38.535716948857974,216.66594673046876,391.08539553800347,49.58013339909259,729.7860450389794,433.67307606865415,43.69517046976463,75.91509272622687,98.71061078368606,9.713316858133926,138.29273309353417,25999.99999999998,1699.9999999999993,799.9999999999999,709.7997813591198,91.6377293878104,1182.6610187384447,4979.798930110675,1308.0935023343607,20228.00903806957,28499.99999999998
8.0,0.4157009248242258,3.8180010701853266,282.2745270591767,2262.4806315567557,1366.0235806682485,22084.98755872079,197.42677056268047,30.65859542126125,114.19807898038209,283.3855190231995,73.31707826756792,1001.0139577449082,381.6561604156537,40.34150287071771,55.03381207198644,91.10034228821317,17.154162170554763,214.714020182874,25999.99999999998,1699.9999999999995,799.9999999999998,579.4986319031584,74.81809936216429,451.50641811154526,2636.966492868168,1456.4948211063713,23300.71553664857,28499.99999999998
9.0,0.19425340377996433,2.382211145164921,89.27426646910071,1032.1733437279445,1369.1467442793928,23506.829180974597,163.42245805079457,26.884174963449148,56.48949688852926,174.01168775439209,91.17797231539764,1188.0142100274368,350.62922537319525,38.259295642987475,35.83561943313428,70.06100597759577,24.889763429720084,280.3250901433669,25999.999999999978,1699.9999999999995,799.9999999999998,514.2459368277698,67.52568175160154,181.59938279076425,1276.2460374599325,1485.2144800245105,24975.1684811454,28499.999999999978
10.0,0.1342724645460793,1.8947138008230069,28.25266611719496,439.3223223221865,1286.6258778865822,24243.770147408646,147.8358070182511,25.075055467789596,27.256530935972837,96.40578414299766,99.15053684223254,1304.2762855927558,332.85038290247985,37.035018275017414,21.86687764315524,47.85838276390298,30.651923326204184,329.7374150892401,25999.999999999978,1699.9999999999995,799.9999999999998,480.82046238527704,64.00478754363002,77.37607469632303,583.5864892290872,1416.428338055019,25877.78384809064,28499.999999999978
11.0,0.11312826300838182,1.7037497133076722,8.963137862257225,178.61495919032177,1159.3586320335924,24651.24639293749,140.5389314316219,24.208268347491813,13.031070323149628,50.207696209804446,98.11449432022057,1373.8995393677112,322.9030987485562,36.33933982398329,12.799537385689886,30.30639472842783,33.34841962202942,364.3032096913131,25999.999999999978,1699.9999999999995,799.9999999999998,463.5551584431865,62.25135788478278,34.79374557109674,259.12905012855407,1290.8215459758424,26389.449141996512,28499.999999999978
12.0,0.1046519614506188,1.6234356200829203,2.8554657804419916,70.61778048737864,1020.3019082152517,24904.496757935372,137.07583911697085,23.792106193378057,6.219273430384471,25.251089465991882,91.47645136000956,1416.1852404332647,317.40739913583116,35.95154463173968,7.295758283240466,18.30047531142384,33.32864339186208,387.7161792459024,25999.999999999978,1699.9999999999995,799.9999999999997,454.58789021425264,61.367086445200655,16.370497494066928,114.16934526479436,1145.1070029671232,26708.398177614537,28499.999999999978
13.0,0.10102326377749352,1.588301566854807,0.9154715147288199,27.456696697908924,887.291073213986,25082.64743374272,135.41303063043642,23.591147896109508,2.9761112119852378,12.462682935962029,82.35741356080149,1443.1996137647047,314.38941937354616,35.73751504944165,4.0899352883694045,10.719242001249524,31.53105760131712,403.5328306860758,25999.999999999978,1699.9999999999995,799.9999999999997,449.9034732677601,60.91696451240596,7.981518015083462,50.63862163512048,1001.1795443761046,26929.3798781935,28499.999999999978
14.0,0.09940870029713039,1.5725151006264297,0.2962467668098545,10.565057627491871,767.2783885877782,25220.188383216973,134.60569905736827,23.493306854601926,1.4320170449409169,6.091966540855909,72.692536720561,1461.6844737816714,312.73727387032983,35.62002164569552,2.2689788353859655,6.151766286853995,28.81376006452026,414.40819929721414,25999.999999999978,1699.9999999999995,799.9999999999998,447.44238162799525,60.685843600923874,3.997242647136737,22.808790455201777,868.7846853728594,27096.28105629586,28499.999999999978
15.0,0.09867038633260755,1.565263769790452,0.09716829140365056,4.037718859288954,661.78535134175,25332.415827351408,134.20944378540747,23.445218962938558,0.6941556467987146,2.9655659609318423,63.45435716464322,1475.2312584792796,311.83470032479744,35.55573623701151,1.2503566412737381,3.480351962360827,25.761086607303152,422.11776822725307,25999.999999999975,1699.9999999999995,799.9999999999998,446.14281449653754,60.56621896974052,2.041680579476103,10.483636782581623,751.0007951136963,27229.76485405794,28499.999999999975
16.0,0.0983250430702235,1.5618649154296067,0.032492578862290074,1.5359838566963493,570.132885863316,25426.6384477426,134.0128912151175,23.421350096458788,0.3393871171920411,1.44287805239253,55.04873256098969,1485.7347609578487,311.3424345546187,35.52064541747312,0.6859447113188414,1.9487038389266171,22.71526655756874,427.78700492009375,25999.999999999975,1699.9999999999993,799.9999999999998,445.4536508128064,60.50386042936151,1.0578244073731726,4.927565748015496,647.8968849818745,27340.160213620544,28499.999999999975
17.0,0.09816020729884822,1.560241009392057,0.011162673808774623,0.582471603614964,490.91913320199507,25506.828831303865,133.91440240940412,23.409385840061738,0.1674770136225236,0.7034695151664142,47.59203959213714,1494.2132256296077,311.0743291190034,35.50152495856047,0.3751266631812665,1.0827556581728013,19.85424495534792,432.1120186457338,25999.999999999975,1699.9999999999995,799.9999999999997,445.08689173570633,60.47115180801427,0.5537663506125647,2.3686967769541796,558.3654177494801,27433.154075579205,28499.999999999975
18.0,0.0980800604638448,1.5594510556117307,0.003976699422619568,0.22045383466240223,422.61429549858576,25575.503742851226,133.86457504247915,23.40333187206011,0.08343467176650982,0.3443491781891805,41.06603608113278,1501.238273154372,310.92848422565726,35.49112115210439,0.20467630062810846,0.598131975905427,17.25671574005304,435.5208706056514,25999.99999999997,1699.9999999999998,799.9999999999995,444.8911393286003,60.45390407977624,0.2920876718172378,1.1629349887570097,480.9370473197716,27512.26288661125,28499.99999999997
19.0,0.09804043183882341,1.5590603721183764,0.0014835550902485106,0.08336498577112292,363.7763619274971,25634.481688727657,133.83913970696096,23.400241242970004,0.041959706486008476,0.16948499985077173,35.396511420640614,1507.1526629230912,310.8492265572988,35.485466560066065,0.11148140351735297,0.32895722004035194,14.945632995830646,438.2792352632465,25999.999999999975,1699.9999999999995,799.9999999999998,444.78640669609854,60.44476817515445,0.15492466509360997,0.5818072056622465,414.1185063439683,27579.913586913994,28499.999999999975
20.0,0.09802054255403993,1.5588642686321854,0.0005843118433880162,0.031532195366362786,313.1161341489625,25685.194864532612,133.82604885758278,23.398650513572488,0.021294133125022638,0.08396750141834125,30.49106364040494,1512.1789753538958,310.806190551097,35.4823959548616,0.06063931250515314,0.180300349878287,12.91469858671838,440.55577524493924,25999.99999999997,1699.9999999999993,799.9999999999997,444.73025995123385,60.43991073706627,0.0825177574735638,0.29580004666299103,356.5218963760858,27637.929615131445,28499.99999999997
