day,S_s,V_s,E_s,I_s,Q_s,R_s,S_t,V_t,E_t,I_t,Q_t,R_t,S_l,V_l,E_l,I_l,Q_l,R_l,N_s,N_t,N_l,S,V,E,I,Q,R,N
0.0,20764.00334514615,5199.996654853849,18.0,18.0,0.0,0.0,1496.0001312326567,203.99986876734332,0.0,0.0,0.0,0.0,704.0000617565444,95.99993824345567,0.0,0.0,0.0,0.0,26000.0,1700.0,800.0,22964.003538135352,5499.996461864647,18.0,18.0,0.0,0.0,28500.0
1.0,20751.999587761202,5198.132643361906,21.41346699089524,20.0739498143722,4.266017726033318,4.114334345590562,1495.8827278832505,203.98874200669576,0.10031358695879855,0.024373171329288568,0.0020241041307396328,0.0018192476349714643,703.9708385053997,95.99744760789581,0.024758168467306305,0.006008712300606721,0.0004987463136287508,0.00044825962301404005,26000.000000000004,1699.9999999999998,800.0,22951.853154149852,5498.118832976498,21.538538746321347,20.104331698002092,4.268540576477687,4.1166018528485475,28500.000000000004
2.0,20738.36416108313,5196.0147598925305,24.905851490941327,22.872533139592875,8.487924160486909,9.35477023331349,1495.7474826739274,203.97592397517636,0.17474962994986984,0.07635362604790805,0.012888167800759492,0.012601927098001987,703.9368907804222,95.99455426679526,0.043374512194274434,0.018887007108509043,0.003182282152855498,0.00311115132696486,25999.999999999993,1700.0000000000005,800.0000000000001,22938.04853453748,5495.985238134503,25.123975633085468,22.967773772749293,8.503994610440524,9.370483311738457,28499.999999999993
3.0,20722.662855886112,5193.57534418546,28.830093966517772,26.26487734333836,12.812622960437757,15.85420565812897,1495.5892994823782,203.96093151958016,0.23821798180113068,0.13879442275283993,0.03527398526473635,0.037482608223109073,703.8968176680132,95.99113879582464,0.05953513115437135,0.03449382189619615,0.008735772321758496,0.009278810789828104,25999.999999999996,1700.0000000000002,800.0,22922.148973036503,5493.527414500865,29.127847079473277,26.438165587987395,12.856632718024251,15.900967077141908,28499.999999999996
4.0,20704.50664288581,5190.753648635615,33.357754394328275,30.269295533493054,17.356486977029014,23.756171573719303,1495.404017415277,203.94337004276315,0.29875752365919317,0.20530477277282716,0.06901821441192804,0.07953203111597992,703.849526399039,95.98710802043509,0.07516700680958524,0.05129461295814552,0.017153870152376703,0.0197500906059164,26000.0,1700.0,800.0000000000001,22903.76018670013,5490.684126698813,33.73167892479705,30.525894919224026,17.44265906159332,23.855453695441202,28500.0
5.0,20683.481650732836,5187.4849349001,38.61380881435018,34.958872612759265,22.229776268520915,33.230956671428004,1495.1873813491684,203.92283591741096,0.36120355328226356,0.27441032959362105,0.11317025234170669,0.14099859820303542,703.7939253556453,95.98236884837934,0.09141039454802852,0.06892846673096498,0.028236483319774346,0.03513045137663794,25999.999999999993,1699.9999999999998,800.0000000000001,22882.462957437652,5487.39013966589,39.06642276218047,35.30221140908385,22.371183004182395,33.407085721007675,28499.999999999993
6.0,20659.120153687698,5183.695921891194,44.72104166864782,40.434250993902566,27.545525942107414,44.48310581644447,1494.9345961475226,203.89887420299922,0.4288724124983694,0.34685881857830647,0.1668544079678768,0.22394401043352982,703.7287902323134,95.97681685750268,0.10905157250207737,0.08756394205469699,0.041795048228287696,0.05598234739896133,25999.999999999993,1699.9999999999998,800.0000000000001,22857.783540067536,5483.571612951697,45.25896565364827,40.86867375453557,27.754175398303577,44.76303217427696,28499.999999999993
7.0,20630.884036547053,5179.302153131813,51.8155936264101,46.81749525107332,33.42381869458645,57.75690274905838,1494.6400855761153,203.87095574825852,0.5043872772329665,0.4243902160461608,0.2295928775359935,0.3305883048108694,703.6526934390711,95.97033027117794,0.128726662718978,0.10761161261552571,0.057730890280975465,0.08290712413561495,25999.999999999993,1699.9999999999998,800.0000000000002,22829.17681556224,5479.143439151249,52.44870756636204,47.34949707973501,33.71114246240342,58.17039817800487,28499.999999999993
8.0,20598.151335747167,5174.205818493248,60.053573244277885,54.25255942446873,39.99477887311861,73.34193421771303,1494.297316381823,203.83846045118526,0.5901118084076546,0.5092018492378706,0.3013943061510992,0.463515203194707,703.5639550254276,95.9627657649824,0.15102437104858213,0.12960115789322116,0.07605869128997142,0.1165949893582793,25999.999999999993,1699.9999999999995,800.0000000000001,22796.01260715442,5474.007044709416,60.794709423734126,54.891362431599816,40.37223187055968,73.92204441026601,28499.999999999993
9.0,20560.20272593238,5168.293536409965,69.6150862627789,62.90797144011911,47.40126208095057,91.57941787379843,1493.898633444336,203.80066154426538,0.6883970437891408,0.6037455942898905,0.38274962543464536,0.6258127478847408,703.4605984559482,95.95395468300354,0.1765427186640142,0.1541352910026866,0.09690822271048605,0.15786062867104367,25999.999999999996,1699.9999999999995,800.0,22757.561957832666,5468.048152637234,70.48002602523205,63.66585232541169,47.88091992909571,92.36309125035422,28499.999999999996
