day,new_s_dorm,new_s_class,new_s_canteen,new_s_club,new_s,new_t_dorm,new_t_class,new_t_canteen,new_t_club,new_t,new_l_dorm,new_l_class,new_l_canteen,new_l_club,new_l,new_total,new_dorm,new_class,new_canteen,new_club
0.0,8.562784634066745,2.6657614992445273,1.0268363589390685,0.8249346615736861,13.080317153824026,0.021259049853063476,0.07000184175089613,0.01752680560878323,0.011264477988128841,0.12005217520087168,0.014875545636236324,0.0052247708091481765,0.0070079948739256515,0.0026273556836414556,0.029735667002951605,13.23010499602785,8.598919229556044,2.7409881118045716,1.0513711594217774,0.8388264952454564
1.0,9.529012973405813,2.9806432621953514,1.149130581486451,0.9218822287955903,14.580669045883205,0.0239116688776531,0.07857949107228913,0.019875483144452387,0.012727608764643997,0.13509425185903862,0.01680453810706898,0.005905063301723155,0.007964536252801942,0.002976531087118954,0.03365066874871303,14.749413966490957,9.569729180390535,3.0651278165693636,1.1769706008837053,0.9375863686473532
2.0,10.847441755302562,3.421009539067503,1.3209050585851543,1.0571106082117603,16.64646696116698,0.027717279731534723,0.09077560163026238,0.023357318036943717,0.014866557844447337,0.15671675724318818,0.0196238707829722,0.006900845162865685,0.009394355460974974,0.0034924067719588167,0.03941147817877168,16.842595196588938,10.894782905817069,3.518685985860631,1.353656732083073,1.0754695728281665
3.0,12.44178766292704,3.9531230660750225,1.528472695049718,1.2205373252716465,19.143920749323428,0.03231748696357209,0.10551938225427795,0.02756272149671507,0.017450621129320686,0.1828502118438858,0.023034160501213298,0.008104536447254234,0.011122569132521526,0.004115970086887686,0.04637723616787675,19.37314819733519,12.497139310391825,4.066746984776555,1.5671579856789548,1.2421039164878547
4.0,14.31293365428368,4.573521476821585,1.7702428209378036,1.4112253768918122,22.06792332893488,0.03765328244443063,0.12265720680768151,0.032400459519258094,0.02043328961719373,0.21314423838856397,0.02697629994847551,0.00949442699186553,0.013108690756604275,0.004834477412291876,0.054413895109237186,22.335481462432686,14.377563236676588,4.705673110621132,1.815751971213666,1.4364931439212978
5.0,16.489865446561815,5.290334126861772,2.049283218185845,1.6317219070991253,25.461204698708556,0.04378506090283206,0.14239772122942074,0.037910223270465504,0.02384296557634346,0.24793597097906178,0.031488284337971795,0.01108368225192978,0.01536763875029626,0.005654108879095027,0.06359371421929286,25.77273438390691,16.565138791802617,5.443815530343123,2.1025610802066064,1.661218981554564
6.0,19.01473667800001,6.117060643343707,2.3708164415078743,1.8861897923436615,29.38880355519525,0.05082902563164274,0.165119493767313,0.044192287582161746,0.027742847917212585,0.28788365489833007,0.036653265119758194,0.012901679397263922,0.017939941192866134,0.006589817912372638,0.07408470362226088,29.75077191371584,19.10221896875141,6.295081816508284,2.432948670282902,1.9205224581732467
7.0,21.93884867189165,7.07060036780295,2.7414132832131766,2.179824366357056,33.93068668926483,0.058935423927814264,0.19130700081992177,0.0513814211083014,0.03221646788511961,0.3338403137411571,0.04258112299414095,0.014987308449013196,0.02088062336779929,0.007661620808275202,0.08611067561922864,34.35063767862522,22.040365218813605,7.276894677071885,2.813675327689277,2.2197024550504505
8.0,25.32210740538233,8.17076786873414,3.1687857784891613,2.5187152855863815,39.18037633819201,0.06828246315519554,0.22153389011148691,0.05963832701532691,0.03736318598082951,0.3868178662628388,0.04940289769994782,0.017386905970121543,0.0242555231333284,0.008893410948895581,0.09993873775229335,39.66713294220715,25.439792766237474,8.40968866481575,3.2526796286378166,2.5649718825161063
9.0,29.233602631060002,9.440348997934672,3.6618008290290516,2.9098685394444965,45.24562099746822,0.07907647910823727,0.25646479793007115,0.06914841785943332,0.04329778796292761,0.44798748286066936,0.057270445120618865,0.02015409026317228,0.02814072129936794,0.010312819921923204,0.11587807660508229,45.809486556933976,29.36994955528886,9.716967886127916,3.759089968187853,2.9634791473293474
10.0,33.75259770846999,10.905374380525519,4.230583269746138,3.3612923653081457,52.249847724049786,0.09155492980323184,0.2968655174145552,0.08012394883343851,0.05015195006266827,0.5186963461138938,0.0663584723380591,0.023350465341522422,0.032623401295949636,0.011951557935082286,0.13428389691061343,52.902827967074295,33.91051111061128,11.225590363281597,4.343330619875526,3.4233958733058962
11.0,38.9694982434486,12.595426968153873,4.886634641057671,3.8820921703647517,60.33365202302489,0.10599040170604689,0.34361605406175944,0.09280746683863587,0.058076414504538994,0.6004903371109812,0.07686748497615255,0.0270466606257896,0.0378032833329451,0.013845943008165554,0.1555633719430528,61.089705732078926,39.1523561301308,12.966089682841421,5.017245391229252,3.9540145278774563
12.0,44.98714734589603,14.54407074831155,5.6429999260417585,4.482602230861732,69.65682025111106,0.12269626150032063,0.39772886274317176,0.10747686591272054,0.06724412652126319,0.6951461166774762,0.08902801902347121,0.03132382792968129,0.0437947386679073,0.016037670844251572,0.18018425646531136,70.53215062425384,45.19887162641982,14.973123438984402,5.794271530622386,4.565884028227248
13.0,51.92198077579304,16.789241834578025,6.5144202823382376,5.174505558668775,80.40014845137807,0.14203272044165832,0.4603683342676985,0.12445089010139457,0.07785362756549759,0.804705572376249,0.1031052575045461,0.03627527374278834,0.050729117259154834,0.01857465786439135,0.20868430637088065,81.4135383301252,52.16711875373924,17.285885442588512,6.689600289698787,5.270933844098664
14.0,59.90474992758607,19.37350489095083,7.517433983901391,5.9709121300218255,92.76660093246012,0.1644126724636599,0.5328694812909608,0.1440944993346674,0.09013234531926677,0.9315089984085548,0.11940357610477195,0.04200806476721452,0.05875705699608731,0.02151187359666433,0.24168057146473815,93.93979050233342,60.1885661761545,19.948382437009005,7.720285540232146,6.082556348937757
15.0,69.08141449740127,22.34436386983065,8.67049849814933,6.886453906174378,106.98273077155562,0.19030910329605052,0.6167617058905528,0.1668256150945022,0.10434074507840849,1.078237169359514,0.13827231192071765,0.04864506127412295,0.06805139480024885,0.02491239270554265,0.27988116070063207,108.34084910161576,69.40999591261803,23.009770636995327,8.90537550804408,7.0157070439583284
16.0,79.61370795648166,25.754469329229973,9.994072726672075,7.93734794246312,123.29959795484683,0.2202631062457589,0.7137944860135279,0.19312243669364704,0.12077682636560318,1.2479568553185372,0.16011209823856729,0.05632714686947342,0.07881036630240926,0.028848549826696785,0.3240981612371467,124.87165297140251,79.99408316096599,26.524590962112974,10.266005529668131,8.086973318655419
17.0,91.67861663192421,29.66147972240602,11.510565513375228,9.14135272954635,141.99201459725182,0.25489087776640357,0.8259596674691182,0.223529940671969,0.13978008613146112,1.4441605720389519,0.1853806351198877,0.0652152564937037,0.09126054857091588,0.03340299513877086,0.37525943532327816,143.81143460461405,92.1188881448105,30.552654646368843,11.825356002618113,9.314535810816581
18.0,105.46704775386677,34.12766424755235,13.24418427172509,10.517644799303966,163.35654107244818,0.29489089316429495,0.9555142605005312,0.25866660778245026,0.16173560406869136,1.6708073655159676,0.21459879734385023,0.07549252016191936,0.10565998776527159,0.03866981290623557,0.43442111817727674,165.46176955614143,105.97653744437491,35.1586710282148,13.60851086727281,10.718050216278893
19.0,121.1810896780938,39.21905669552006,15.220609980806564,12.08655679010716,187.70731314452757,0.3410502223947951,1.105000327956311,0.299230506333763,0.1870776938361123,1.9323587505209814,0.24835639215174599,0.08736628013272442,0.1223011848007992,0.04475558083769349,0.5027794379229631,190.14245133297152,121.77049629264035,40.4114233036091,15.642141671941127,12.318390064780965
20.0,139.02921662021765,45.00395254017848,17.466418074222982,13.869112891083489,215.36870012570262,0.3942488220946133,1.2772581515123673,0.3460037509185801,0.21629249561665048,2.2338032201422116,0.28731679794189074,0.10106971038559326,0.1415135718528605,0.051780233357563786,0.5816803135379083,218.18418365938274,139.71078224025416,46.38228040207645,17.953935396994424,14.137185620057704
21.0,159.218683690053,51.550506516314094,20.008151126061662,15.886286815795568,246.66362814822432,0.4554602951174802,1.4754277400789084,0.39985405705020904,0.2499186975897069,2.5806607898363048,0.33221947496073057,0.11686268253948967,0.16366499557278286,0.05987754874487811,0.6726247018178813,249.91691363987852,160.00636346013124,53.14279693893249,20.571670178684656,16.196083062130153
22.0,181.9441963781485,58.92313483050231,22.8709285721972,18.15789111660976,281.8961508974578,0.5257469654819864,1.7029316540944648,0.46173155267010096,0.28854522259238136,2.9789553948389336,0.38387887836545276,0.13503135992799964,0.18916149762982262,0.06919499722871177,0.7772667331519868,285.6523730254487,182.85382222199596,60.76109784452478,23.521821622497125,18.515631336430857
23.0,207.37180871975792,67.17738254669877,26.076461660862062,20.700993260479,321.3266461877977,0.6062463008002767,1.96342947413658,0.5326582926347792,0.33280426893482906,3.435138336506465,0.44317770630051606,0.15588579088672844,0.218444389476815,0.07989257940350386,0.8974004660675634,325.65918499037167,208.4212327268587,69.29669781172207,26.827564342973655,21.11369010881733
