A,C,D,J,peak_I_norm,peak_I_day,peak_I,final_R,final_Q,attack_rate,mask_u,vent_u,online_u,club_u,disinfect_u,vax_cov_scale,q_scale
1850.4466673640743,1778.5743218119019,430.0472235047881,4059.068212680764,0.25518619252707486,6.0,7272.806487021634,27468.811245260185,1.0347617069807875,0.9638179384301819,0.6120510707371107,0.8576594672927813,0.2129797241529658,0.32370603763845573,0.0912496911290025,1.7811459692892118,4.943716545814287
307.25834569292385,4436.491193305686,881.0039622169379,5624.753501215548,0.14244168854483533,10.0,4059.588123527807,24610.474275326003,1.1378503033356437,0.8635254131693334,0.77690456889682,0.9862294262039623,0.6692651498396232,0.9397725849763058,0.9521319022177901,2.1956417145653955,8.268457146329677
843.799460683871,2843.5279058738247,566.6481923704692,4253.975558928165,0.22029413886302973,7.0,6278.382957596347,26651.773032003206,1.0111154632002781,0.9351499309474809,0.44462505433786204,0.9425718168507741,0.23109675404198904,0.7418748033670014,0.7978647668455826,2.2932783859821964,6.111285193511161
618.927835924554,4041.41066037624,825.3610402818307,5485.699536582624,0.19537691867603524,8.0,5568.242182267004,26241.190189925794,1.0470356290020817,0.9207435154359928,0.9311933318411474,0.7959680033714807,0.5176666051856796,0.5749912510833173,0.4890377248852348,1.447641118792278,8.978733014251704
367.40430406528145,3591.611781259872,729.5197464262643,4688.535831751417,0.15586980547377485,9.0,4442.289456002583,25133.43751031587,1.1403423396774264,0.8818750003619604,0.661833731500067,0.2368459938420271,0.9351222948922641,0.14619913551236197,0.6318938562932697,2.8482146387310436,6.338056064260892
2044.3793668624608,249.71556362746472,109.36997315340466,2403.46490364333,0.3020004220514379,5.0,8607.01202846598,27481.993423876593,1.041009492067645,0.9642804710132138,0.34738769846889594,0.05672425749135579,0.18174799072280645,0.24080877548703394,0.8117914215885188,0.11741893714861895,0.43482910939817554
782.7913618472833,4249.7269945873595,600.6620855277705,5633.180441962413,0.20843621805216256,7.0,5940.432214486633,26727.398981327686,1.0826825062936771,0.9378034730290417,0.19566171964396767,0.5178262794707337,0.544507000909505,0.16663305057610556,0.32467135163266975,4.4735722746126,6.234223324462444
2444.2872404663863,2198.116187547253,556.9598979675817,5199.363325981221,0.29070967453462104,5.0,8285.2257242367,27597.91553139502,1.124957045407853,0.9683479133822814,0.5469245726048276,0.7488372614398626,0.03649406838594049,0.8449003125023805,0.42396655248018367,0.24762292883764525,7.013578456794915
691.9834787723837,844.1927659696561,348.36537713517305,1884.5416218772127,0.2101694493850007,7.0,5989.82930747252,26387.697509602443,1.096542386578779,0.9258841231439454,0.723088081428916,0.4852318844591883,0.6869213316974788,0.009962400415133743,0.620897133794193,1.1942473539964955,2.171766194970747
652.1789460865725,5867.76490388894,852.4140698837523,7372.357919859265,0.19770071482996565,8.0,5634.470372654021,26619.927626082852,1.0656293934513,0.9340325482836088,0.9644050391206705,0.4124937434405352,0.44853683134035627,0.7135146723259618,0.04039473102846547,3.8913835402946093,9.449776998560008
872.8003283667997,1126.1693982418822,287.21181697115503,2286.181543579837,0.2293865253522329,7.0,6537.5159725386375,26671.70426437024,1.096652955828688,0.9358492724340436,0.3788408337198064,0.6128950449132516,0.5058938795610526,0.2099958161972964,0.7592540481791742,1.8638904762901083,1.7360445861018814
1727.190430159632,870.6238646745284,365.48812742701375,2963.302422261174,0.2600788217131413,6.0,7412.246418824527,27185.081154080406,1.146446005606146,0.9538624966344003,0.22452700270227133,0.9104945870276452,0.2586200423960364,0.7874068368173863,0.6876772561433971,0.31217569328820494,3.158248706565128
1221.1053295462318,2839.736990675544,332.67837281339644,4393.520693035172,0.2411489122971821,6.0,6872.74400046969,27350.983760190782,1.1281457386480795,0.9596836407084485,0.3894637216560409,0.5450516199313151,0.19115744608709262,0.7224632930576265,0.2394074218547887,4.407008627427045,2.9045098567632217
556.2327469732451,2225.3930759822665,647.3843483364547,3429.010171291966,0.1916269027956489,8.0,5461.366729675993,25975.335503883038,1.0269838773779778,0.9114152808380013,0.6162078886916164,0.37594184359758276,0.7793284723607556,0.6470982353510183,0.5864565980923586,1.626331963708404,5.152365550993596
991.6896536419705,4119.861699554849,905.7029036402497,6017.25425683707,0.22664357227335238,7.0,6459.341809790543,26721.479396130962,1.1500440416072517,0.9375957682852969,0.5910516305494224,0.9230901281418219,0.7371370491646088,0.6664655334365729,0.0809973427811787,0.38836799420516677,9.61495780053726
455.2769911476466,2269.8998438969425,424.5667821794453,3149.7436172240346,0.18901548711382565,8.0,5386.941382744031,25946.66698119987,1.0067663353032181,0.9104093677613989,0.3577844374198904,0.2798702213068774,0.9027577355838415,0.8254470576490216,0.3678372574208136,3.323765876861838,1.2236051580687413
880.0974569555973,2157.483029048218,362.99822665148344,3400.578712655299,0.22675863584945385,7.0,6462.621121709435,26729.424141348976,1.0349333212667546,0.9378745312754027,0.04792179954471243,0.9471620376073531,0.3713196509150834,0.6265367449160365,0.7302819084071589,3.0989349640071677,2.7261042857032054
786.0125930812723,805.3141915183118,354.27081674780663,1945.5976013473905,0.2225787300468205,7.0,6343.493806334384,26516.60612921593,1.057588054146616,0.9304072326040677,0.6323780473928692,0.8405270939951562,0.47994346504620533,0.5053454863343884,0.8657989311092532,0.6050783004387952,2.347441862825015
1029.3844748846566,2034.6586620219534,350.3327803529497,3414.3759172595596,0.22885555380340541,7.0,6522.383283397055,27115.159811390884,1.0423329617816055,0.9514091161891538,0.9022173284634442,0.5306596177741814,0.3291058936596597,0.11124177682145908,0.1737324539861943,2.886875887550228,3.4520868310831454
281.719370423159,3003.983271110608,589.7937697931618,3875.496411326929,0.13861608160922848,10.0,3950.5583258630113,24529.462518506167,1.1217516502298017,0.8606828953861813,0.7610076420130025,0.2512013995558962,0.9804947016774037,0.07467013355786978,0.6564122560959333,3.279739144252727,4.071534455171763
814.3329730931802,2079.7229819295717,278.4531114850023,3172.509066507754,0.23427845610793527,7.0,6676.935999076155,26804.506378939244,1.0939446520134888,0.9405089957522542,0.10199646405156154,0.3990973307219111,0.8001757526555514,0.02948310365863105,0.13291357282946586,3.608759412536652,0.8332397422939772
208.3678823931542,3515.703629230336,427.7798852967551,4151.851396920245,0.11881929868799963,12.0,3386.3500126079894,23966.44340472563,1.0625461993565384,0.8409278387623028,0.9563717779079728,0.2207051643163398,0.5403523455779478,0.611457512575337,0.9101414956754472,4.683743796425617,2.49914154560636
380.03930337309225,3929.359959706123,738.4061014293683,5047.805364508584,0.15794153736164432,9.0,4501.333814806863,25264.26469225665,1.1453445114007954,0.8864654277984789,0.8084036857138459,0.17271496943965203,0.6743200656160816,0.28512227447487776,0.8158655487285159,2.7267601050668464,7.298244144558681
1466.1179930527942,1586.8260418811626,456.5376164137581,3509.4816513477144,0.2574694829254979,6.0,7337.880263376689,27285.9531180108,1.1161065595906332,0.9574018637898526,0.8556719056985232,0.6819270451758612,0.11628281425896653,0.5249430611463349,0.5259509823346272,1.1039840207024008,5.436197418946739
1160.4650599464321,2244.79258851619,460.0813532164903,3865.3390016791122,0.24030069263584591,6.0,6848.569740121608,27030.17713036248,1.001590719508228,0.9484272677320169,0.16659880735324134,0.872246170573618,0.30030874399829044,0.7593944521232142,0.5306267418995878,2.5789484342752944,4.304436821651044
879.6375254298144,1053.7671431375347,481.95931992762104,2415.3639884949703,0.22726567182683058,7.0,6477.071647064671,26529.592337455946,1.0472813830602608,0.930862889033542,0.29266654758340227,0.10285583146393013,0.6216317552884344,0.9588459646599677,0.9244225469300088,0.734384563715857,3.079148020505578
667.5766937588332,2504.277051618914,357.74387558594066,3529.597620963688,0.199245965556669,8.0,5678.510018365067,26400.99390679442,1.0446075156235028,0.9263506633962955,0.3158367963019349,0.3062701637186435,0.38245732045872843,0.01958282891760832,0.9889370409743458,3.497062874707791,3.4011787817234715
303.15264871845943,4033.097479163474,630.4526478649892,4966.702775746923,0.14345667531604456,10.0,4088.51524650727,24878.175979564938,1.1151492514921586,0.8729184554233311,0.3074381771781648,0.5931964706959663,0.7993027808571977,0.85788082738592,0.8539538277241746,4.583794846173036,4.215189990231519
1222.363388065021,3420.79393464234,810.5347714063851,5453.692094113745,0.23907841919369205,6.0,6813.734947020223,26805.688836417947,1.0441773023485057,0.940550485488349,0.3416573120733944,0.8885968872959865,0.7616348568600608,0.2938818293196582,0.333870318340892,0.18797602850871886,8.605507545803912
942.685792643374,2133.6674801213335,380.7869180800801,3457.140190844788,0.22892107785876553,7.0,6524.250718974818,26951.337738159935,1.0214425971452001,0.9456609732687696,0.4163413928935893,0.6305681201564851,0.5627661493833147,0.35021510184616733,0.027525214126408626,3.169107986436795,2.6544373056714847
1004.5595116187098,4354.712896863592,760.8907439735515,6120.1631524558525,0.22235960241937494,7.0,6337.248668952186,26719.993824427173,1.1196899286775364,0.9375436429623569,0.13949998367737182,0.06690069933203507,0.38915672250008115,0.44005892180260375,0.9376629763158253,2.2616331580545417,9.08736337228244
473.5298392537818,855.6489230300713,306.2215908861347,1635.4003531699877,0.21551382157953292,8.0,6142.143915016688,26243.85905334472,1.033560560932663,0.9208371597664814,0.7399892102358866,0.7818526529811053,0.8828709121948811,0.8064902565977392,0.3465137870081086,1.2172581552758492,0.10873424314147861
505.52414805678086,3993.685665279714,529.5602618437755,5028.77007518027,0.18134650534330715,9.0,5168.375402284254,26351.21405741884,1.0083347539319978,0.9246040020146962,0.8665181291332498,0.016115909038222076,0.4028062095102082,0.7524461630472656,0.43879153042308283,4.872687751906925,4.591477085294844
581.0567733548545,3375.8124592777026,512.8862757927061,4469.7555084252635,0.19286847255077655,8.0,5496.751467697131,26408.66454131745,1.0549839874042963,0.9266198084672789,0.8862878757078152,0.03181769602549683,0.4975632659268962,0.05397690710105374,0.3975873238874986,3.852580533098267,5.123927233107475
928.2898560497516,2850.998706099342,203.97106413913596,3983.25962628823,0.2337413334252957,7.0,6661.628002620928,27075.91240016204,1.0148670645380353,0.9500320140407733,0.27638385435049767,0.48727348566808193,0.10010517528215723,0.11592185819337103,0.7476233965475463,4.805576824698661,2.1112501291379706
1298.6194380038348,5432.5708111271815,665.2871183593711,7396.477367490388,0.24005657827390692,6.0,6841.612480806347,27374.65334270302,1.0746041777582733,0.9605141523755445,0.6755450802026065,0.9629147770105823,0.012265684570162583,0.40443319532714417,0.2271800342363406,4.142645332702683,9.155960143689171
