day,date,new_cases,cum_cases,sim_cum_cases,sim_new_cases,sim_cum_cases_scaled,sim_new_cases_scaled
12,2021-10-18,1.0,5.0,0.0,0.0,0.0,0.0
13,2021-10-19,0.5,5.5,1.5732510444854597,1.5732510444854597,0.40734516714051666,0.40734516714051666
14,2021-10-20,0.5,6.0,3.4234930733446163,1.8502420288591566,0.8864086650723036,0.479063497931787
15,2021-10-21,1.0,7.0,5.870528928465319,2.4470358551207028,1.5199936437042325,0.6335849786319289
16,2021-10-22,1.0,8.0,9.176270087008106,3.305741158542787,2.3759140573406348,0.8559204136364024
17,2021-10-23,0.5,8.5,13.660326998003711,4.484056910995605,3.5369232416532883,1.1610091843126533
18,2021-10-24,0.5,9.0,19.749786688775657,6.089459690771946,5.113602300108452,1.5766790584551635
19,2021-10-25,1.5,10.5,28.023703089522314,8.273916400746657,7.2558795107179614,2.1422772106095103
20,2021-10-26,1.5,12.0,39.26788909456263,11.24418600504032,10.167217051943117,2.9113375412251563
21,2021-10-27,2.5,14.5,54.54650980267343,15.278620708110793,14.123147879281253,3.9559308273381353
22,2021-10-28,2.5,17.0,75.29511641347653,20.748606610803108,19.495364002979834,5.372216123698581
23,2021-10-29,4.0,21.0,103.43852413135755,28.14340771788102,26.782237360494968,7.286873357515132
24,2021-10-30,4.0,25.0,141.5332086799158,38.094684548558234,36.645689032108415,9.863451671613449
25,2021-10-31,12.0,37.0,192.9257618950419,51.3925532151261,49.95221646304375,13.306527430935335
26,2021-11-01,28.0,65.0,261.89623453134755,68.97047263630566,67.8100076924053,17.85779122936156
27,2021-11-02,38.0,103.0,353.7152561504972,91.81902161914968,91.58373079860148,23.773723106196172
28,2021-11-03,45.0,148.0,474.463196483568,120.7479403330708,122.84771127346234,31.263980474860855
29,2021-11-04,42.0,190.0,630.3486561417058,155.88545965813773,163.2094760673247,40.36176479386234
30,2021-11-05,48.0,238.0,826.1597098578914,195.8110537161856,213.908750467023,50.69927439969832
31,2021-11-06,52.0,290.0,1062.6024489863148,236.44273912842345,275.1283552001819,61.219604733158896
32,2021-11-07,56.0,346.0,1332.9948450607562,270.3923960744414,345.13818367513517,70.00982847495328
33,2021-11-08,58.0,404.0,1621.2231305444284,288.22828548367215,419.76606937494734,74.62788569981215
34,2021-11-09,54.0,458.0,1903.8330431002355,282.6099125558071,492.9392495035279,73.17318012858055
35,2021-11-10,50.0,508.0,2157.1460809976293,253.31303789739377,558.5269013426108,65.58765183908292
36,2021-11-11,46.0,554.0,2365.5465735051744,208.4004925075451,612.4858252856208,53.958923943009985
37,2021-11-12,40.0,594.0,2525.133707835802,159.58713433062758,653.8060253485717,41.320200062950846
38,2021-11-13,36.0,630.0,2641.1941030376265,116.06039520182458,683.8563095976082,30.050284249036512
39,2021-11-14,30.0,660.0,2723.014754644362,81.82065160673528,705.0412610528236,21.18495145521551
40,2021-11-15,26.0,686.0,2779.839142362539,56.82438771817715,719.7541956438118,14.712934590988173
41,2021-11-16,20.0,706.0,2819.086332970577,39.24719060803818,729.9160534566923,10.161857812880534
42,2021-11-17,16.0,722.0,2846.1272866082727,27.040953637695566,736.9174800998182,7.001426643125845
43,2021-11-18,12.0,734.0,2864.688587312342,18.561300704069254,741.7233603591364,4.805880259318244
44,2021-11-19,11.0,745.0,2877.3436453644063,12.655058052064305,745.0,3.2766396408635714
